step,time_s,phase,cmd_x,cmd_y,cmd_yaw,height,x,y,speed,yaw_speed,roll_deg,pitch_deg,foot_contacts,base_contact,done,vx,vy,vx_b,vy_b,wz,push_delta_vy,joint_rms_deviation,FL_foot_x_b,FL_foot_y_b,FL_foot_z_w,FL_foot_fz,FL_foot_contact,FL_foot_speed_xy,FR_foot_x_b,FR_foot_y_b,FR_foot_z_w,FR_foot_fz,FR_foot_contact,FR_foot_speed_xy,RL_foot_x_b,RL_foot_y_b,RL_foot_z_w,RL_foot_fz,RL_foot_contact,RL_foot_speed_xy,RR_foot_x_b,RR_foot_y_b,RR_foot_z_w,RR_foot_fz,RR_foot_contact,RR_foot_speed_xy
18,0.36,stand,0.0,0.0,0.0,0.314249187707901,-0.012499535456299782,0.0050026364624500275,0.045974988490343094,0.019095180556178093,-0.8119494631166968,-1.583285020602911,4,0,0,-0.04429731145501137,0.012306418269872665,-0.04721561074256897,0.01092537771910429,-0.019095180556178093,0.0,0.06601517647504807,0.17648647725582123,0.16193412244319916,0.023364901542663574,57.4317626953125,1,0.028889063745737076,0.14749495685100555,-0.18869835138320923,0.02315586805343628,51.728355407714844,1,0.01858009770512581,-0.3240811228752136,0.14852294325828552,0.022658906877040863,36.234947204589844,1,0.0008049887837842107,-0.2651638686656952,-0.17425242066383362,0.023071378469467163,29.713970184326172,1,0.010540862567722797
19,0.38,stand,0.0,0.0,0.0,0.3122568130493164,-0.013371712528169155,0.005242423620074987,0.04427849128842354,0.0161515474319458,-0.7257594660628646,-1.6206512780047584,4,0,0,-0.04296518489718437,0.01070410292595625,-0.04549812152981758,0.009673833847045898,-0.0161515474319458,0.0,0.07013554126024246,0.1769719421863556,0.16220372915267944,0.023377403616905212,57.27935028076172,1,0.028419647365808487,0.14811018109321594,-0.18838588893413544,0.02316819131374359,51.49287414550781,1,0.018717465922236443,-0.32354480028152466,0.14866095781326294,0.022672854363918304,36.324222564697266,1,0.0002258686872664839,-0.26454800367355347,-0.17407873272895813,0.023084372282028198,30.119190216064453,1,0.009358950890600681
20,0.4,stand,0.0,0.0,0.0,0.31059715151786804,-0.014213880524039268,0.005450364202260971,0.042372703552246094,0.0135912224650383,-0.6534203989547306,-1.6587412152935097,4,0,0,-0.04134247824549675,0.009286848828196526,-0.04346313327550888,0.008544129319489002,-0.0135912224650383,0.0,0.07417599856853485,0.17745070159435272,0.16241642832756042,0.02338831126689911,57.052730560302734,1,0.02772238664329052,0.14869843423366547,-0.18813209235668182,0.02317902445793152,51.0203971862793,1,0.018747428432106972,-0.3230235278606415,0.14876584708690643,0.0226852148771286,36.236473083496094,1,0.0011079689720645547,-0.2639610171318054,-0.1739426702260971,0.02309586852788925,30.372079849243164,1,0.008170893415808678
21,0.42,stand,0.0,0.0,0.0,0.30926480889320374,-0.015021230094134808,0.005628821440041065,0.04030425474047661,0.011310937814414501,-0.596571507193098,-1.6967741631913735,4,0,0,-0.03951285779476166,0.007947766222059727,-0.04121407866477966,0.007431725971400738,-0.011310937814414501,0.0,0.07775874435901642,0.17792043089866638,0.16256578266620636,0.023397155106067657,56.72260665893555,1,0.026988163590431213,0.14925946295261383,-0.18794453144073486,0.02318807691335678,50.40012741088867,1,0.018665345385670662,-0.3225206434726715,0.1488274484872818,0.022696249186992645,36.03695297241211,1,0.001961099449545145,-0.26340338587760925,-0.17385391891002655,0.02310594916343689,30.511856079101562,1,0.00705149257555604
22,0.44,stand,0.0,0.0,0.0,0.30824145674705505,-0.01579018495976925,0.005778950173407793,0.038113903254270554,0.009289180859923363,-0.55550856998554,-1.7345073298176974,4,0,0,-0.03753748536109924,0.006603540852665901,-0.03883020579814911,0.006262210197746754,-0.009289180859923363,0.0,0.08069760352373123,0.17837655544281006,0.1626518815755844,0.023404620587825775,56.300662994384766,1,0.026262924075126648,0.14979171752929688,-0.18782052397727966,0.023197904229164124,49.00452423095703,1,0.019611656665802002,-0.3220396041870117,0.14884401857852936,0.022705145180225372,35.2161750793457,1,0.003125227754935622,-0.26287779211997986,-0.17381387948989868,0.023114725947380066,30.404441833496094,1,0.005582342855632305
23,0.46,stand,0.0,0.0,0.0,0.30749863386154175,-0.016518644988536835,0.005900553893297911,0.03584008291363716,0.007295821327716112,-0.5292054047701151,-1.771700057725944,4,0,0,-0.03543528914451599,0.005371393635869026,-0.03635275736451149,0.005161657929420471,-0.007295821327716112,0.0,0.0829341858625412,0.17881536483764648,0.16268318891525269,0.023410700261592865,55.85875701904297,1,0.02549844980239868,0.1502874791622162,-0.1877705454826355,0.023202180862426758,48.844295501708984,1,0.018249157816171646,-0.32158997654914856,0.14882056415081024,0.022714585065841675,35.98299789428711,1,0.004391201306134462,-0.2623854875564575,-0.17381899058818817,0.023122049868106842,30.723527908325195,1,0.0052192797884345055
24,0.48,stand,0.0,0.0,0.0,0.3070019781589508,-0.017204470932483673,0.005991898011416197,0.033559150993824005,0.0050996155478060246,-0.5084998463837802,-1.8061865366189847,4,0,0,-0.0333411730825901,0.0038187173195183277,-0.033932626247406006,0.003709666430950165,-0.0050996155478060246,0.0,0.08444284647703171,0.17924298346042633,0.16272717714309692,0.02341495454311371,55.13410568237305,1,0.006683427840471268,0.15076284110546112,-0.1877164989709854,0.023207180202007294,47.99361801147461,1,0.01966523751616478,-0.3211522698402405,0.14880535006523132,0.022721529006958008,35.110355377197266,1,0.004015384707599878,-0.26191800832748413,-0.17381955683231354,0.023128792643547058,30.45598602294922,1,0.0026726063806563616
25,0.5,stand,0.0,0.0,0.0,0.30670884251594543,-0.017847422510385513,0.006059088744223118,0.03130155801773071,0.0043583824299275875,-0.505910350914699,-1.8403317194969362,4,0,0,-0.03117191046476364,0.0028459548484534025,-0.03146276995539665,0.0028172980528324842,-0.0043583824299275875,0.0,0.0853937491774559,0.17964619398117065,0.1626746952533722,0.0234183669090271,54.518489837646484,1,0.023954441770911217,0.15119963884353638,-0.18774865567684174,0.023211568593978882,47.478126525878906,1,0.0177878737449646,-0.3207467496395111,0.14872972667217255,0.02272742986679077,34.58481979370117,1,0.0044724103063344955,-0.2614884674549103,-0.17388217151165009,0.023133933544158936,30.36995506286621,1,0.0037155563477426767
26,0.52,stand,0.0,0.0,0.0,0.30658188462257385,-0.018448753282427788,0.006098381243646145,0.029123567044734955,0.0036580467130988836,-0.5063734163960848,-1.8741492667381388,4,0,0,-0.02909153141081333,0.001365609117783606,-0.029145201668143272,0.0013973970199003816,-0.0036580467130988836,0.0,0.0858282819390297,0.18002206087112427,0.16264872252941132,0.023421309888362885,54.066158294677734,1,0.023716678842902184,0.15160341560840607,-0.18776504695415497,0.02321474254131317,46.67229080200195,1,0.01728939637541771,-0.32037726044654846,0.1486692577600479,0.022732317447662354,34.368892669677734,1,0.0050256443209946156,-0.2610952854156494,-0.1739351898431778,0.023138374090194702,30.177370071411133,1,0.003200757084414363
27,0.54,stand,0.0,0.0,0.0,0.30658507347106934,-0.01900911144912243,0.00611078180372715,0.027080785483121872,0.002247672528028488,-0.5179261477686324,-1.905770054387536,4,0,0,-0.027080409228801727,0.00014271547843236476,-0.026946475729346275,0.00022120859648566693,-0.002247672528028488,0.0,0.08587253093719482,0.18037883937358856,0.16257286071777344,0.02342315763235092,53.47158432006836,1,0.023274796083569527,0.15197694301605225,-0.18782804906368256,0.02321748435497284,46.18977355957031,1,0.017000319436192513,-0.32002687454223633,0.14858472347259521,0.022736817598342896,34.100460052490234,1,0.005409105680882931,-0.26072990894317627,-0.1740114837884903,0.023142144083976746,30.098241806030273,1,0.0028691727202385664
28,0.56,stand,0.0,0.0,0.0,0.30668365955352783,-0.01953033171594143,0.0060975258238613605,0.025176556780934334,0.0020771257113665342,-0.5321233896495915,-1.9354634480305202,4,0,0,-0.025152862071990967,-0.0010920388158410788,-0.024882588535547256,-0.0009792324854061007,-0.0020771257113665342,0.0,0.0856037512421608,0.18071503937244415,0.16252072155475616,0.023424506187438965,52.927581787109375,1,0.022829120978713036,0.15232382714748383,-0.18788349628448486,0.02321963757276535,45.75522994995117,1,0.016728445887565613,-0.3197036385536194,0.14851410686969757,0.022740505635738373,33.7697639465332,1,0.005740190390497446,-0.2603912353515625,-0.17407846450805664,0.023145325481891632,29.943979263305664,1,0.0026378370821475983
29,0.58,stand,0.0,0.0,0.0,0.3068459630012512,-0.02001439407467842,0.006060673855245113,0.02345709688961506,0.0022306572645902634,-0.5472310744025721,-1.963788669405386,4,0,0,-0.023350421339273453,-0.0022345492616295815,-0.022990642115473747,-0.002099087927490473,-0.0022306572645902634,0.0,0.08513142913579941,0.18102622032165527,0.16248568892478943,0.02342531830072403,52.43077850341797,1,0.022452909499406815,0.15264663100242615,-0.18791255354881287,0.023221492767333984,45.46601104736328,1,0.016596335917711258,-0.31940758228302,0.1484605222940445,0.022743798792362213,33.55644226074219,1,0.005990686826407909,-0.2600792646408081,-0.17412935197353363,0.023146875202655792,29.799264907836914,1,0.0024936674162745476
30,0.6,stand,0.0,0.0,0.0,0.30704671144485474,-0.02046380378305912,0.006003257818520069,0.021899649873375893,0.0018387055024504662,-0.566839960540297,-1.9894859754970897,4,0,0,-0.02167063020169735,-0.003158870153129101,-0.021258831024169922,-0.003009339328855276,-0.0018387055024504662,0.0,0.08453747630119324,0.18132008612155914,0.16244645416736603,0.023425698280334473,51.97621154785156,1,0.022186053916811943,0.15294796228408813,-0.18795597553253174,0.023222781717777252,45.2159423828125,1,0.016351154074072838,-0.31912529468536377,0.14840346574783325,0.022746562957763672,33.3575325012207,1,0.006172398570924997,-0.2597859501838684,-0.1741810292005539,0.023149333894252777,29.69460105895996,1,0.0023997975513339043
31,0.62,stand,0.0,0.0,0.0,0.3072632849216461,-0.0208808071911335,0.00592860858887434,0.02048644609749317,0.0019598929211497307,-0.588899070321058,-2.0135824560020716,4,0,0,-0.020099986344575882,-0.003960436210036278,-0.01967167854309082,-0.003805730026215315,-0.0019598929211497307,0.0,0.08389876782894135,0.18159258365631104,0.16241054236888885,0.023426078259944916,51.57361602783203,1,0.02194890007376671,0.1532268524169922,-0.18799592554569244,0.023224174976348877,45.103858947753906,1,0.016149891540408134,-0.31886905431747437,0.14835099875926971,0.022749215364456177,33.22224426269531,1,0.006336909253150225,-0.25951462984085083,-0.17423103749752045,0.023151680827140808,29.628950119018555,1,0.002359258709475398
32,0.64,stand,0.0,0.0,0.0,0.30747920274734497,-0.021267900243401527,0.005839856807142496,0.019224759191274643,0.0021596401929855347,-0.6106606399861005,-2.0358285955722146,4,0,0,-0.018663296476006508,-0.004612238612025976,-0.018243130296468735,-0.004459346178919077,-0.0021596401929855347,0.0,0.08325687795877457,0.18184629082679749,0.16238988935947418,0.023426227271556854,51.23616027832031,1,0.021766571328043938,0.15348759293556213,-0.1880205124616623,0.023225538432598114,45.064456939697266,1,0.016018297523260117,-0.31863072514533997,0.14831194281578064,0.02275131642818451,33.14674758911133,1,0.006460459437221289,-0.25926119089126587,-0.17426763474941254,0.02315370738506317,29.580997467041016,1,0.002339745406061411
33,0.66,stand,0.0,0.0,0.0,0.30768337845802307,-0.021627632901072502,0.005740181542932987,0.018089503049850464,0.002426204737275839,-0.631742925993844,-2.0558760545598482,4,0,0,-0.01735309325158596,-0.005108844954520464,-0.01695980131626129,-0.004963580518960953,-0.002426204737275839,0.0,0.08264414221048355,0.18208444118499756,0.1623835414648056,0.023426271975040436,50.95783615112305,1,0.021626625210046768,0.15373380482196808,-0.18803080916404724,0.023226678371429443,45.09638595581055,1,0.01591472141444683,-0.31840717792510986,0.1482848972082138,0.022753462195396423,33.10305404663086,1,0.0065563456155359745,-0.259022057056427,-0.1742912232875824,0.023156121373176575,29.760250091552734,1,0.0014294395223259926
34,0.68,stand,0.0,0.0,0.0,0.30786916613578796,-0.021962428465485573,0.005632847547531128,0.017048435285687447,0.002609196351841092,-0.6512806287538125,-2.072475975563918,4,0,0,-0.01616004668176174,-0.005431578494608402,-0.015803206712007523,-0.005297353956848383,-0.002609196351841092,0.0,0.08206471055746078,0.18231511116027832,0.162392720580101,0.02342645823955536,50.68552017211914,1,0.021545449271798134,0.15397340059280396,-0.18802489340305328,0.023227930068969727,45.17625427246094,1,0.015890413895249367,-0.3181861937046051,0.14827074110507965,0.022755257785320282,33.071224212646484,1,0.0066511789336800575,-0.25878778100013733,-0.174299955368042,0.023157358169555664,29.52853775024414,1,0.0023294296115636826
35,0.7000000000000001,stand,0.0,0.0,0.0,0.30803123116493225,-0.022274425253272057,0.00552026042714715,0.016105707734823227,0.0033745865803211927,-0.6678220129022612,-2.0875613021195374,4,0,0,-0.015072370879352093,-0.0056760432198643684,-0.01475832611322403,-0.005555792711675167,-0.0033745865803211927,0.0,0.08154884725809097,0.18252941966056824,0.16242384910583496,0.02342645823955536,50.57672119140625,1,0.021452689543366432,0.15420275926589966,-0.18798720836639404,0.02322912961244583,45.30527877807617,1,0.01584072969853878,-0.31798407435417175,0.1482737809419632,0.022756993770599365,33.08693313598633,1,0.006743003148585558,-0.2585660517215729,-0.1742933988571167,0.023159362375736237,29.498308181762695,1,0.0023608452174812555
36,0.72,stand,0.0,0.0,0.0,0.30816951394081116,-0.02256586030125618,0.005405304953455925,0.015215126797556877,0.0035956758074462414,-0.6861748379237912,-2.101482508308493,4,0,0,-0.014088183641433716,-0.005746577866375446,-0.013815602287650108,-0.005640034098178148,-0.0035956758074462414,0.0,0.08111345767974854,0.1827286332845688,0.16244946420192719,0.023426689207553864,50.4366340637207,1,0.021423600614070892,0.1544172763824463,-0.18796448409557343,0.023230470716953278,45.450504302978516,1,0.01582990027964115,-0.31779608130455017,0.14826779067516327,0.022758670151233673,33.13020324707031,1,0.006801956333220005,-0.2583564519882202,-0.17429471015930176,0.02316085249185562,29.524717330932617,1,0.002354599069803953
37,0.74,stand,0.0,0.0,0.0,0.30828526616096497,-0.022838430479168892,0.005290457513183355,0.014319044537842274,0.003460953012108803,-0.7050152744190367,-2.113957421940698,4,0,0,-0.013165934011340141,-0.005629673600196838,-0.012934763915836811,-0.005537199322134256,-0.003460953012108803,0.0,0.0807526484131813,0.1829153448343277,0.16245654225349426,0.023426972329616547,50.113731384277344,1,0.023195557296276093,0.15462104976177216,-0.18794333934783936,0.02323160320520401,45.623268127441406,1,0.015421218238770962,-0.3176189064979553,0.14825865626335144,0.02276022732257843,33.183048248291016,1,0.006914244964718819,-0.25815674662590027,-0.1742987334728241,0.023162558674812317,29.502460479736328,1,0.002642963780090213
38,0.76,stand,0.0,0.0,0.0,0.30837979912757874,-0.023093434050679207,0.005177593324333429,0.013558278791606426,0.0040464443154633045,-0.7202718359515825,-2.1244133743429297,4,0,0,-0.01233886368572712,-0.005619552917778492,-0.012142905034124851,-0.0055396719835698605,-0.0040464443154633045,0.0,0.08043328672647476,0.18309487402439117,0.1625000238418579,0.023427166044712067,50.22694396972656,1,0.021370841190218925,0.15481851994991302,-0.18790479004383087,0.023232832551002502,45.72163772583008,1,0.015753647312521935,-0.3174477219581604,0.14826464653015137,0.022761553525924683,33.24409866333008,1,0.006947235204279423,-0.2579626142978668,-0.17428556084632874,0.023164182901382446,29.595609664916992,1,0.0024049298372119665
